      n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
      0,             0,               0,              0,         0,           0,          0
      1,             0,               0,              0,         0,           0,          0
      2,             1,               0,              0,         1,           0,          0
      3,             3,               1,              0,         2,           0,          0
      4,             5,               2,              0,         5,           0,          0
      5,             6,               2,              0,         7,           0,          0
      6,             7,               2,              0,         8,           0,          0
      7,             8,               2,              0,        10,           0,          0
      8,             9,               2,              0,        13,           0,          0
      9,            10,               2,              0,        14,           0,          0
     10,            12,               3,              0,        17,           0,          0
     11,            13,               3,              0,        20,           0,          0
     12,            14,               3,              0,        22,           0,          0
     13,            15,               3,              0,        24,           0,          0
     14,            16,               3,              0,        26,           0,          0
     15,            17,               3,              0,        30,           0,          0
     16,            18,               3,              0,        33,           0,          0
     17,            19,               3,              0,        34,           0,          0
     18,            20,               3,              0,        37,           0,          0
     19,            22,               4,              0,        39,           0,          0
     20,            23,               4,              0,        43,           0,          0
     21,            24,               4,              0,        45,           0,          0
     22,            25,               4,              0,        48,           0,          0
     23,            28,               6,              0,        53,           0,          0
     24,            30,               7,              0,        57,           0,          0
     25,            31,               7,              0,        59,           0,          0
     26,            32,               7,              0,        61,           0,          0
     27,            34,               8,              0,        65,           0,          0
     28,            37,              10,              0,        68,           0,          0
     29,            40,              12,              0,        70,           0,          0
     30,            41,              12,              0,        80,           0,          0
     31,            42,              12,              0,        81,           0,          0
     32,            43,              12,              0,        85,           0,          0
     33,            44,              12,              0,        86,           0,          0
     34,            46,              13,              0,        86,           0,          0
     35,            47,              13,              0,        93,           0,          0
     36,            50,              15,              0,        97,           0,          0
     37,            55,              19,              0,       100,           0,          0
     38,            56,              19,              0,       105,           0,          0
     39,            57,              19,              0,       106,           0,          0
     40,            58,              19,              0,       110,           0,          0
     41,            60,              20,              0,       113,           0,          0
     42,            61,              20,              0,       118,           0,          0
     43,            62,              20,              0,       121,           0,          0
     44,            63,              20,              0,       125,           0,          0
     45,            65,              21,              0,       127,           0,          0
     46,            67,              22,              0,       132,           0,          0
     47,            68,              22,              0,       138,           0,          0
     48,            69,              22,              0,       140,           0,          0
     49,            70,              22,              0,       142,           0,          0
     50,            71,              22,              0,       145,           0,          0
     51,            72,              22,              0,       148,           0,          0
     52,            74,              23,              0,       153,           0,          0
     53,            75,              23,              0,       157,           0,          0
     54,            76,              23,              0,       160,           0,          0
     55,            77,              23,              0,       164,           0,          0
     56,            78,              23,              0,       167,           0,          0
     57,            79,              23,              0,       171,           0,          0
     58,            80,              23,              0,       169,           0,          0
     59,            81,              23,              0,       176,           0,          0
     60,            82,              23,              0,       186,           0,          0
     61,            84,              24,              0,       191,           0,          0
     62,            85,              24,              0,       193,           0,          0
     63,            86,              24,              0,       197,           0,          0
     64,            87,              24,              0,       203,           0,          0
     65,            88,              24,              0,       204,           0,          0
     66,            90,              25,              0,       206,           0,          0
     67,            91,              25,              0,       209,           0,          0
     68,            92,              25,              0,       210,           0,          0
     69,            93,              25,              0,       212,           0,          0
     70,            94,              25,              0,       217,           0,          0
     71,            95,              25,              0,       222,           0,          0
     72,            96,              25,              0,       227,           0,          0
     73,            98,              26,              0,       229,           0,          0
     74,            99,              26,              0,       229,           0,          0
     75,           100,              26,              0,       235,           0,          0
     76,           101,              26,              0,       239,           0,          0
     77,           102,              26,              0,       245,           0,          0
     78,           103,              26,              0,       245,           0,          0
     79,           104,              26,              0,       249,           0,          0
     80,           105,              26,              0,       255,           0,          0
     81,           106,              26,              0,       257,           0,          0
     82,           107,              26,              0,       258,           0,          0
     83,           109,              27,              0,       264,           0,          0
     84,           111,              28,              0,       270,           0,          0
     85,           112,              28,              0,       275,           0,          0
     86,           113,              28,              0,       276,           0,          0
     87,           114,              28,              0,       281,           0,          0
     88,           115,              28,              0,       287,           0,          0
     89,           117,              29,              0,       289,           0,          0
     90,           118,              29,              0,       293,           0,          0
     91,           123,              33,              0,       300,           0,          0
     92,           124,              33,              0,       303,           0,          0
     93,           125,              33,              0,       308,           0,          0
     94,           127,              34,              0,       314,           0,          0
     95,           130,              36,              0,       321,           0,          0
     96,           133,              38,              0,       325,           0,          0
     97,           134,              38,              0,       328,           0,          0
     98,           135,              38,              0,       329,           0,          0
     99,           137,              39,              0,       331,           0,          0
    100,           138,              39,              0,       340,           0,          0
    101,           139,              39,              0,       340,           0,          0
    102,           140,              39,              0,       345,           0,          0
    103,           141,              39,              0,       348,           0,          0
    104,           142,              39,              0,       353,           0,          0
    105,           146,              42,              0,       357,           0,          0
    106,           147,              42,              0,       364,           0,          0
    107,           148,              42,              0,       366,           0,          0
    108,           149,              42,              0,       371,           0,          0
    109,           150,              42,              0,       377,           0,          0
    110,           151,              42,              0,       376,           0,          0
    111,           155,              45,              0,       388,           0,          0
    112,           156,              45,              0,       388,           0,          0
    113,           157,              45,              0,       390,           0,          0
    114,           158,              45,              0,       399,           0,          0
    115,           160,              46,              0,       404,           0,          0
    116,           162,              47,              0,       402,           0,          0
    117,           166,              50,              0,       407,           0,          0
    118,           167,              50,              0,       416,           0,          0
    119,           168,              50,              0,       417,           0,          0
    120,           170,              51,              0,       433,           0,          0
    121,           173,              53,              0,       436,           0,          0
    122,           174,              53,              0,       443,           0,          0
    123,           175,              53,              0,       446,           0,          0
    124,           176,              53,              0,       450,           0,          0
    125,           177,              53,              0,       452,           0,          0
    126,           178,              53,              0,       462,           0,          0
    127,           182,              56,              0,       465,           0,          0
    128,           183,              56,              0,       473,           0,          0
    129,           184,              56,              0,       474,           0,          0
    130,           186,              57,              0,       474,           0,          0
    131,           187,              57,              0,       482,           0,          0
    132,           188,              57,              0,       482,           0,          0
    133,           189,              57,              0,       483,           0,          0
    134,           190,              57,              0,       488,           0,          0
    135,           193,              59,              0,       489,           0,          0
    136,           197,              62,              0,       500,           0,          0
