   n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,1,0,0,1,0,0
3,3,1,0,2,0,0
4,4,1,0,5,0,0
5,8,4,0,8,0,0
6,11,6,0,10,0,0
7,16,10,0,13,0,0
8,20,13,0,16,0,0
9,26,18,0,19,0,0
10,28,19,0,25,0,0
11,30,20,0,27,0,0
12,33,22,0,28,0,0
13,34,22,0,32,0,0
14,42,29,0,38,0,0
15,51,37,0,42,0,0
16,62,47,0,46,0,0
17,78,62,0,51,0,0
18,91,74,0,53,0,0
19,96,78,0,59,0,0
20,110,91,0,66,0,999
21,128,108,0,72,0,0
22,131,110,0,75,0,0
23,132,110,0,76,0,0
24,154,131,0,80,0,0
25,176,152,0,84,0,0
26,189,164,0,92,0,0
27,213,187,0,95,0,0
28,235,208,0,104,0,0
29,250,222,0,108,0,0
30,266,237,0,113,0,0
31,275,245,0,117,0,0
32,286,255,0,120,0,1001
33,312,280,0,126,0,0
34,342,309,0,133,0,0
35,373,339,0,136,0,0
36,385,350,998,145,0,0
37,414,378,0,147,0,0
38,437,400,0,152,0,0
39,457,419,999,160,0,0
40,482,443,0,169,0,0
41,513,473,0,175,0,0
42,535,494,1000,178,0,0
43,573,531,0,183,0,0
44,580,537,0,193,0,0
45,618,574,0,199,0,0
46,622,577,1502,197,0,0
47,656,610,0,200,0,0
48,692,645,1003,206,0,0
49,720,672,0,212,0,0
50,735,686,1000,219,0,0
51,776,726,0,229,0,0
52,789,738,1003,232,0,0
53,791,739,0,236,0,1001
54,832,779,0,244,0,0
55,863,809,998,248,0,0
56,882,827,1002,263,0,0
57,896,840,1002,267,0,0
58,906,849,998,267,0,0
59,947,889,997,280,0,0
60,960,901,0,287,0,0
61,1020,961,1504,289,0,0
62,1042,982,0,297,0,1004
63,1058,997,0,303,0,0
64,1060,998,999,309,0,0
65,1094,1031,1000,316,0,0
66,1104,1040,997,318,0,0
67,1130,1065,0,325,0,1001
68,1183,1117,0,335,0,999
69,1184,1117,0,339,0,0
70,1225,1157,998,343,0,0
71,1255,1186,999,350,0,0
72,1305,1235,1504,361,0,0
73,1375,1304,1005,368,0,0
74,1406,1334,1000,370,0,0
75,1471,1398,999,373,0,0
76,1539,1465,999,382,0,0
77,1570,1495,1001,390,0,0
78,1608,1532,998,397,0,0
79,1650,1573,1000,402,0,1001
80,1707,1629,1001,413,0,0
81,1762,1683,995,418,0,504
82,1808,1728,1004,423,0,0
83,1852,1771,1001,431,0,0
84,1929,1847,999,436,0,0
85,1976,1893,999,439,0,0
86,1985,1901,1001,452,0,1000
87,2065,1980,998,464,0,0
88,2115,2029,1503,473,0,0
89,2169,2082,1003,477,0,0
90,2223,2135,2000,484,0,0
91,2267,2178,1001,492,0,0
92,2326,2236,1999,487,0,0
93,2333,2242,998,492,0,1000
94,2426,2335,1000,497,0,0
95,2504,2412,1505,504,0,0
96,2518,2425,3003,509,0,0
97,2576,2482,2001,516,0,0
98,2578,2483,1000,524,0,1000
99,2633,2537,999,535,0,0
100,2660,2563,1506,544,0,1005
101,2740,2642,999,550,0,0
102,2808,2709,1506,559,0,0
103,2812,2712,1000,564,0,1000
104,2915,2815,2004,574,0,0
105,2928,2827,1506,582,0,1004
106,3010,2908,1000,581,0,998
107,3015,2912,1001,585,0,998
108,3020,2916,1001,597,0,0
109,3115,3010,999,602,0,1001
110,3127,3021,1503,606,0,0
111,3217,3110,2003,608,0,0
112,3246,3138,2000,629,0,0
113,3348,3239,1999,637,0,1000
114,3409,3299,1000,640,0,0
115,3513,3402,2505,656,0,1001
116,3566,3454,1998,657,0,0
117,3671,3558,2001,664,0,0
118,3686,3572,1999,671,0,999
119,3738,3623,1506,684,0,1005
120,3833,3717,1999,686,0,0
121,3883,3766,2000,693,0,998
122,3908,3790,1998,697,0,0
123,3915,3796,2508,708,0,0
124,4000,3880,3002,713,0,0
125,4078,3957,2001,720,0,998
126,4130,4008,2000,729,0,0
127,4193,4070,2507,734,0,0
128,4307,4183,1998,742,0,0
129,4385,4260,2999,750,0,0
130,4498,4372,2558,752,0,0
131,4617,4490,2000,759,0,0
132,4729,4601,2998,764,0,0
133,4836,4707,2999,774,0,1001
134,4861,4731,2054,778,0,999
135,4942,4811,1999,790,0,0
136,5034,4902,3000,797,0,0
137,5153,5020,3509,807,0,0
138,5229,5095,2998,814,0,0
139,5242,5107,3001,818,0,0
140,5270,5134,3505,824,0,1001
141,5352,5215,2506,833,0,1000
142,5368,5230,2000,838,0,0
143,5493,5354,3003,849,0,0
144,5603,5463,2999,861,0,1001
145,5657,5516,3000,866,0,506
146,5758,5616,3008,876,0,1001
147,5882,5739,2999,882,0,0
148,5954,5810,3513,885,0,1000
149,6050,5905,2999,893,0,999
150,6188,6042,2999,894,0,1000
151,6262,6115,3513,901,0,0
152,6283,6135,4001,911,0,0
153,6405,6256,5522,921,0,0
154,6414,6264,3999,929,0,0
155,6494,6343,3506,933,0,1006
156,6619,6467,2998,951,0,0
157,6657,6504,3000,960,0,1505
158,6661,6507,4005,961,0,0
159,6779,6624,3999,971,0,0
160,6813,6657,4514,983,0,0
161,6903,6746,3998,990,0,0
162,7023,6865,3515,999,0,1000
163,7090,6931,4001,1006,0,0
164,7132,6972,4503,1009,0,0
165,7146,6985,4517,1017,0,0
166,7155,6993,4000,1019,0,0
167,7247,7084,4511,1029,0,0
168,7351,7187,3999,1041,0,0
169,7474,7309,4005,1044,0,0
170,7598,7432,5000,1052,0,0
171,7712,7545,4507,1056,0,1000
172,7883,7716,3999,1066,0,0
173,7991,7823,5511,1077,0,0
174,8012,7843,4999,1089,0,503
175,8098,7928,4004,1097,0,1000
176,8255,8084,5512,1117,0,999
177,8346,8174,4999,1124,0,0
