  n, insertion_cmp, insertion_swaps, insertion_time, merge_cmp, merge_swaps, merge_time
  0,             0,               0,              0,         0,           0,          0
  1,             0,               0,              0,         0,           0,          0
  2,             1,               1,              0,         1,           0,          0
  3,             2,               1,              0,         3,           0,          0
  4,             4,               2,              0,         4,           0,          0
  5,             5,               2,              0,         6,           0,          0
  6,            10,               6,              0,        11,           0,          0
  7,            13,               8,              0,        14,           0,          0
  8,            20,              15,              0,        16,           0,          0
  9,            26,              20,              0,        20,           0,          0
 10,            34,              27,              0,        21,           0,          0
 11,            40,              32,              0,        26,           0,          0
 12,            44,              35,              0,        31,           0,          0
 13,            55,              45,              0,        36,           0,          0
 14,            59,              48,            998,        36,           0,          0
 15,            67,              55,              0,        41,           0,          0
 16,            70,              57,              0,        45,           0,          0
 17,            83,              69,              0,        50,           0,          0
 18,            92,              77,              0,        56,           0,          0
 19,            95,              79,              0,        59,           0,          0
 20,           114,              98,              0,        62,           0,          0
 21,           133,             116,              0,        67,           0,          0
 22,           154,             136,              0,        70,           0,          0
 23,           168,             149,              0,        79,           0,          0
 24,           182,             162,            998,        84,           0,          0
 25,           198,             177,              0,        90,           0,          0
 26,           211,             189,              0,        88,           0,          0
 27,           235,             212,              0,        97,           0,          0
 28,           241,             217,              0,        99,           0,          0
 29,           248,             223,              0,       103,           0,       1001
 30,           255,             229,              0,       111,           0,          0
 31,           268,             241,              0,       113,           0,          0
 32,           280,             252,              0,       121,           0,          0
 33,           293,             264,              0,       126,           0,          0
 34,           321,             291,           1002,       133,           0,          0
 35,           329,             298,              0,       138,           0,          0
 36,           357,             325,              0,       147,           0,          0
 37,           386,             353,              0,       154,           0,        999
 38,           415,             381,              0,       151,           0,          0
 39,           419,             384,              0,       157,           0,          0
 40,           458,             423,           1001,       161,           0,          0
 41,           486,             450,              0,       166,           0,          0
 42,           508,             471,              0,       173,           0,          0
 43,           538,             500,              0,       180,           0,          0
 44,           544,             505,           1505,       180,           0,          0
 45,           558,             518,              0,       182,           0,          0
 46,           580,             539,              0,       201,           0,          0
 47,           610,             568,           1003,       208,           0,          0
 48,           635,             592,              0,       208,           0,          0
 49,           677,             633,           1003,       214,           0,          0
 50,           716,             671,              0,       226,           0,          0
 51,           726,             680,            998,       233,           0,          0
 52,           729,             682,              0,       231,           0,        999
 53,           748,             700,              0,       237,           0,          0
 54,           800,             751,            999,       243,           0,          0
 55,           848,             798,              0,       254,           0,          0
 56,           884,             833,            998,       256,           0,          0
 57,           908,             856,              0,       261,           0,          0
 58,           949,             896,              0,       266,           0,          0
 59,          1007,             953,           1000,       275,           0,          0
 60,          1018,             963,           1000,       283,           0,          0
 61,          1067,            1011,              0,       288,           0,          0
 62,          1098,            1041,           1000,       291,           0,          0
 63,          1105,            1047,           1115,       297,           0,          0
 64,          1129,            1070,              0,       308,           0,        998
 65,          1139,            1079,           1000,       313,           0,          0
 66,          1190,            1129,           1003,       319,           0,          0
 67,          1252,            1190,            997,       326,           0,          0
 68,          1318,            1255,            999,       334,           0,          0
 69,          1382,            1318,            998,       342,           0,          0
 70,          1448,            1383,           1000,       342,           0,          0
 71,          1502,            1436,           1000,       348,           0,          0
 72,          1503,            1436,           1000,       362,           0,          0
 73,          1571,            1503,           1261,       370,           0,          0
 74,          1616,            1547,           1000,       374,           0,          0
 75,          1682,            1612,            999,       381,           0,          0
 76,          1706,            1635,            999,       384,           0,          0
 77,          1710,            1638,              0,       386,           0,          0
 78,          1746,            1673,            998,       388,           0,          0
 79,          1814,            1740,           1002,       403,           0,          0
 80,          1819,            1744,           1502,       401,           0,          0
 81,          1859,            1783,           1005,       407,           0,          0
 82,          1882,            1805,           1000,       416,           0,        999
 83,          1933,            1855,           1000,       426,           0,          0
 84,          1938,            1859,            997,       432,           0,          0
 85,          1983,            1903,           1000,       441,           0,       1000
 86,          2010,            1929,           1001,       445,           0,          0
 87,          2055,            1973,            999,       451,           0,          0
 88,          2094,            2011,           1503,       452,           0,          0
 89,          2130,            2046,           1004,       459,           0,       1000
 90,          2185,            2100,           1002,       457,           0,          0
 91,          2198,            2112,           1998,       470,           0,          0
 92,          2212,            2125,            999,       490,           0,          0
 93,          2255,            2167,           1998,       496,           0,          0
 94,          2295,            2206,           1505,       507,           0,          0
 95,          2303,            2213,           1005,       507,           0,          0
 96,          2379,            2288,           1998,       514,           0,          0
 97,          2421,            2329,            999,       520,           0,        999
 98,          2517,            2424,           1001,       533,           0,          0
 99,          2602,            2508,           1998,       533,           0,          0
100,          2664,            2569,           2001,       549,           0,          0
